-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_...         0.00%       0.000us         0.00%       0.000us       0.000us     197.345us         0.26%     197.345us      14.096us            14  
void at_cuda_detail::cub::DeviceScanByKeyInitKernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     195.075us         0.26%     195.075us       0.595us           328  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     181.694us         0.24%     181.694us       1.050us           173  
void scal_kernel<float, float, 1, true, 6, 5, 5, 3>(...         0.00%       0.000us         0.00%       0.000us       0.000us     167.999us         0.23%     167.999us       1.448us           116  
void implicit_convolve_sgemm<float, float, 1024, 6, ...         0.00%       0.000us         0.00%       0.000us       0.000us     167.458us         0.22%     167.458us       3.489us            48  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     148.479us         0.20%     148.479us       1.768us            84  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     124.545us         0.17%     124.545us       1.186us           105  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     119.744us         0.16%     119.744us       0.950us           126  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us     115.783us         0.16%     115.783us       1.378us            84  
void cudnn::cnn::kern_precompute_indices<false>(int*...         0.00%       0.000us         0.00%       0.000us       0.000us     115.045us         0.15%     115.045us       0.646us           178  
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us     112.455us         0.15%     112.455us       1.032us           109  
void at::native::mbtopk::fill<unsigned int, unsigned...         0.00%       0.000us         0.00%       0.000us       0.000us      99.346us         0.13%      99.346us       0.606us           164  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      98.436us         0.13%      98.436us       0.781us           126  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      84.161us         0.11%      84.161us       2.004us            42  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      83.684us         0.11%      83.684us       0.996us            84  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      79.680us         0.11%      79.680us       0.949us            84  
void cublasLt::epilogue::impl::globalKernel<8, 32, f...         0.00%       0.000us         0.00%       0.000us       0.000us      62.593us         0.08%      62.593us       1.138us            55  
