-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     251.776us         0.38%     251.776us       2.398us           105  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     238.429us         0.36%     238.429us       2.433us            98  
                                               memset32         0.00%       0.000us         0.00%       0.000us       0.000us     234.655us         0.35%     234.655us       0.715us           328  
void at::native::mbtopk::computeBlockwiseKthCounts<u...         0.00%       0.000us         0.00%       0.000us       0.000us     202.655us         0.30%     202.655us       1.236us           164  
void at_cuda_detail::cub::DeviceScanByKeyInitKernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     194.652us         0.29%     194.652us       0.593us           328  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     183.872us         0.28%     183.872us       1.051us           175  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     175.713us         0.26%     175.713us      12.551us            14  
void implicit_convolve_sgemm<float, float, 128, 5, 5...         0.00%       0.000us         0.00%       0.000us       0.000us     157.982us         0.24%     157.982us       2.926us            54  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     147.329us         0.22%     147.329us       1.754us            84  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     140.511us         0.21%     140.511us       4.015us            35  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     135.585us         0.20%     135.585us       9.685us            14  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     134.977us         0.20%     134.977us       5.191us            26  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     132.096us         0.20%     132.096us       6.290us            21  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     125.857us         0.19%     125.857us       1.199us           105  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     119.683us         0.18%     119.683us       0.950us           126  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     114.530us         0.17%     114.530us      16.361us             7  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us     114.370us         0.17%     114.370us       1.362us            84  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     101.825us         0.15%     101.825us       8.485us            12  
void at::native::mbtopk::fill<unsigned int, unsigned...         0.00%       0.000us         0.00%       0.000us       0.000us      99.103us         0.15%      99.103us       0.604us           164  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      98.784us         0.15%      98.784us       0.784us           126  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      83.106us         0.12%      83.106us       1.979us            42  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      79.427us         0.12%      79.427us       0.946us            84  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      60.576us         0.09%      60.576us       1.594us            38  
void implicit_convolve_sgemm<float, float, 1024, 6, ...         0.00%       0.000us         0.00%       0.000us       0.000us      49.057us         0.07%      49.057us       4.088us            12  
gather_points_kernel_fast(int, int, int, int, float ...         0.00%       0.000us         0.00%       0.000us       0.000us      45.246us         0.07%      45.246us       0.943us            48  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      42.274us         0.06%      42.274us       1.007us            42  
void cudnn::engines_precompiled::nchwToNhwcKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us      41.663us         0.06%      41.663us       1.736us            24  
sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_tf32f3...         0.00%       0.000us         0.00%       0.000us       0.000us      31.168us         0.05%      31.168us       2.597us            12  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      27.106us         0.04%      27.106us       0.645us            42  
void cudnn::bn_fw_inf_1C11_kernel_NCHW<float, float,...         0.00%       0.000us         0.00%       0.000us       0.000us      19.933us         0.03%      19.933us       1.424us            14  
                        difflow3d/cuda_graph_input_copy         0.00%       0.000us         0.00%       0.000us       0.000us      19.072us         0.03%      19.072us       3.814us             5  
void cudnn::engines_precompiled::nhwcToNchwKernel<fl...         0.00%       0.000us         0.00%       0.000us       0.000us      17.473us         0.03%      17.473us       1.456us            12  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      15.392us         0.02%      15.392us       1.283us            12  
                                            aten::copy_         0.04%      23.024us         0.12%      74.491us       7.449us      12.640us         0.02%      12.640us       1.264us            10  
                                            aten::fill_         0.04%      24.246us         0.10%      61.320us       4.088us      12.351us         0.02%      12.351us       0.823us            15  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.142us         0.02%      10.142us       0.845us            12  
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us      10.016us         0.02%      10.016us       0.835us            12  
                                          ProfilerStep*         0.11%      71.760us        11.33%       7.146ms       1.429ms       0.000us         0.00%      24.991us       4.998us             5  
                        difflow3d/cuda_graph_input_copy         0.13%      82.214us         0.29%     183.855us      36.771us       0.000us         0.00%      16.289us       3.258us             5  
                                        cudaMemcpyAsync         0.08%      51.467us         0.08%      51.467us       5.147us       0.000us         0.00%       0.000us       0.000us            10  
                                       cudaLaunchKernel         0.06%      37.074us         0.06%      37.074us       2.472us       0.000us         0.00%       0.000us       0.000us            15  
                            difflow3d/cuda_graph_replay         0.14%      90.355us        10.92%       6.891ms       1.378ms       0.000us         0.00%       8.702us       1.740us             5  
                                  cudaStreamIsCapturing         0.00%       2.547us         0.00%       2.547us       0.255us       0.000us         0.00%       0.000us       0.000us            10  
                                        cudaGraphLaunch        10.72%       6.764ms        10.72%       6.764ms       1.353ms       0.000us         0.00%       0.000us       0.000us             5  
                                   cudaDriverGetVersion         0.00%       0.236us         0.00%       0.236us       0.047us       0.000us         0.00%       0.000us       0.000us             5  
                                  cudaDeviceSynchronize        88.67%      55.955ms        88.67%      55.955ms      55.955ms       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 63.102ms
Self CUDA time total: 66.577ms
