-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                              difflow/recurrent/warping         2.10%       2.411ms         7.78%       8.940ms     297.992us       0.000us         0.00%       2.921ms      97.368us            30  
void at::native::mbtopk::radixFindKthValues<float, u...         0.00%       0.000us         0.00%       0.000us       0.000us       2.835ms         5.21%       2.835ms       5.907us           480  
                                      GroupingOperation         2.99%       3.434ms         4.73%       5.437ms       9.709us       2.832ms         5.20%       2.832ms       5.056us           560  
group_points_kernel_fast(int, int, int, int, int, fl...         0.00%       0.000us         0.00%       0.000us       0.000us       2.832ms         5.20%       2.832ms       5.056us           560  
                                              aten::bmm         2.83%       3.250ms         4.32%       4.968ms      15.287us       2.629ms         4.83%       2.815ms       8.661us           325  
                             difflow/encoder/level3_256         1.16%       1.331ms         4.15%       4.770ms     477.016us       0.000us         0.00%       2.712ms     271.239us            10  
                            difflow/encoder/level1_2048         1.15%       1.317ms         4.46%       5.124ms     512.396us       0.000us         0.00%       2.535ms     253.547us            10  
                           difflow/upsample/prepare_3nn         0.00%       0.000us         0.00%       0.000us       0.000us       2.478ms         4.55%       2.478ms     165.229us            15  
                   difflow/recurrent/prepare_cosine_knn         0.75%     856.731us         4.95%       5.690ms     379.304us       0.000us         0.00%       2.478ms     165.191us            15  
                                           aten::matmul         0.57%     652.256us         5.17%       5.940ms      21.215us       0.000us         0.00%       2.281ms       8.147us           280  
                                              aten::add         1.11%       1.271ms         3.38%       3.879ms       7.606us       2.123ms         3.90%       2.124ms       4.164us           510  
                                 difflow/encoder/level0         1.06%       1.217ms         4.52%       5.191ms     519.050us       0.000us         0.00%       2.082ms     208.155us            10  
              difflow/recurrent/group_combined_features         0.00%       0.000us         0.00%       0.000us       0.000us       2.081ms         3.82%       2.081ms      23.124us            90  
void at::native::mbtopk::computeBlockwiseWithinKCoun...         0.00%       0.000us         0.00%       0.000us       0.000us       2.074ms         3.81%       2.074ms       4.321us           480  
                         difflow/diffusion_gru/self_knn         0.00%       0.000us         0.00%       0.000us       0.000us       2.072ms         3.80%       2.072ms     138.140us            15  
                             difflow/upsample/apply_3nn         0.00%       0.000us         0.00%       0.000us       0.000us       1.906ms         3.50%       1.906ms      31.766us            60  
