-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.313ms         2.41%       1.313ms      10.943us           120  
                                              aten::sum         2.34%       2.685ms         3.79%       4.351ms       6.085us       1.286ms         2.36%       1.286ms       1.798us           715  
                                      aten::leaky_relu_         0.72%     832.831us         1.66%       1.905ms       3.968us       1.286ms         2.36%       1.286ms       2.678us           480  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.286ms         2.36%       1.286ms       2.678us           480  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.029ms         1.89%       1.029ms       1.595us           645  
void sgemm_largek_lds64<true, false, 5, 5, 4, 4, 4, ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.016ms         1.87%       1.016ms      11.293us            90  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     963.840us         1.77%     963.840us       2.295us           420  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us     897.698us         1.65%     897.698us      25.649us            35  
                          aten::max_pool2d_with_indices         0.32%     367.731us         0.53%     613.662us       5.844us     806.498us         1.48%     806.498us       7.681us           105  
void at::native::(anonymous namespace)::max_pool_for...         0.00%       0.000us         0.00%       0.000us       0.000us     806.498us         1.48%     806.498us       7.681us           105  
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us     796.037us         1.46%     796.037us      10.614us            75  
void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_...         0.00%       0.000us         0.00%       0.000us       0.000us     773.665us         1.42%     773.665us       7.737us           100  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     743.201us         1.36%     743.201us       1.327us           560  
difflow/diffusion_gru/materialize_channel_first_inpu...         0.00%       0.000us         0.00%       0.000us       0.000us     736.387us         1.35%     736.387us      24.546us            30  
void implicit_convolve_sgemm<float, float, 128, 6, 7...         0.00%       0.000us         0.00%       0.000us       0.000us     704.193us         1.29%     704.193us      23.473us            30  
void at_cuda_detail::cub::DeviceScanByKeyKernel<at_c...         0.00%       0.000us         0.00%       0.000us       0.000us     579.399us         1.06%     579.399us       2.414us           240  
                                              aten::sub         0.92%       1.062ms         1.59%       1.829ms       5.152us     521.130us         0.96%     521.130us       1.468us           355  
                     difflow/diffusion_gru/random_noise         0.00%       0.000us         0.00%       0.000us       0.000us     496.130us         0.91%     496.130us      16.538us            30  
                                              aten::pow         1.37%       1.571ms         2.43%       2.796ms       5.275us     472.322us         0.87%     472.322us       0.891us           530  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     472.322us         0.87%     472.322us       0.891us           530  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     378.657us         0.70%     378.657us       2.611us           145  
                                              aten::max         0.33%     382.962us         0.47%     539.913us       8.999us     352.447us         0.65%     352.447us       5.874us            60  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     352.447us         0.65%     352.447us       5.874us            60  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     297.281us         0.55%     297.281us       0.862us           345  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     293.819us         0.54%     293.819us       1.031us           285  
void furthest_point_sampling_kernel<256u>(int, int, ...         0.00%       0.000us         0.00%       0.000us       0.000us     275.744us         0.51%     275.744us      27.574us            10  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     274.917us         0.50%     274.917us       1.527us           180  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     256.994us         0.47%     256.994us       3.671us            70  
                                              aten::div         0.38%     433.808us         0.68%     784.527us       4.903us     201.982us         0.37%     201.982us       1.262us           160  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     201.982us         0.37%     201.982us       1.262us           160  
                                        aten::clamp_min         0.38%     434.814us         0.73%     834.100us       4.634us     196.219us         0.36%     196.219us       1.090us           180  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     188.003us         0.35%     188.003us       1.709us           110  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     184.480us         0.34%     184.480us       2.460us            75  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us     180.703us         0.33%     180.703us       2.780us            65  
void at_cuda_detail::cub::DeviceScanByKeyInitKernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     176.005us         0.32%     176.005us       0.733us           240  
                               aten::linalg_vector_norm         0.31%     361.724us         0.48%     546.292us       7.804us     172.509us         0.32%     172.509us       2.464us            70  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     172.509us         0.32%     172.509us       2.464us            70  
void at::native::mbtopk::computeBlockwiseKthCounts<u...         0.00%       0.000us         0.00%       0.000us       0.000us     155.961us         0.29%     155.961us       1.300us           120  
                        difflow/recurrent/diffusion_gru         0.00%       0.000us         0.00%       0.000us       0.000us     150.817us         0.28%     150.817us       5.027us            30  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_...         0.00%       0.000us         0.00%       0.000us       0.000us     140.480us         0.26%     140.480us      14.048us            10  
                                       aten::reciprocal         0.25%     285.875us         0.50%     570.782us       4.566us     137.280us         0.25%     137.280us       1.098us           125  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     137.280us         0.25%     137.280us       1.098us           125  
                                           Buffer Flush         0.11%     126.515us         0.11%     131.308us      65.654us     128.512us         0.24%     128.512us      64.256us             2  
void scal_kernel<float, float, 1, true, 6, 5, 5, 3>(...         0.00%       0.000us         0.00%       0.000us       0.000us     126.817us         0.23%     126.817us       1.409us            90  
               difflow/recurrent/initial_feature_concat         0.00%       0.000us         0.00%       0.000us       0.000us     117.023us         0.21%     117.023us       7.802us            15  
                difflow/recurrent/next_iteration_concat         0.00%       0.000us         0.00%       0.000us       0.000us     109.505us         0.20%     109.505us       7.300us            15  
                                          aten::sigmoid         0.14%     160.977us         0.26%     297.968us       4.966us     104.481us         0.19%     104.481us       1.741us            60  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     104.481us         0.19%     104.481us       1.741us            60  
