-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::mbtopk::radixFindKthValues<float, u...         0.00%       0.000us         0.00%       0.000us       0.000us       2.830ms         5.91%       2.830ms       5.896us           480  
                                              aten::bmm         2.63%       3.072ms         3.86%       4.515ms      13.893us       2.599ms         5.43%       2.785ms       8.569us           325  
                             difflow/encoder/level3_256         0.00%       0.000us         0.00%       0.000us       0.000us       2.743ms         5.73%       2.743ms     274.330us            10  
                           difflow/upsample/prepare_3nn         0.00%       0.000us         0.00%       0.000us       0.000us       2.703ms         5.65%       2.703ms     180.178us            15  
                                difflow/coarse_l3/cross         1.62%       1.898ms         6.28%       7.351ms       1.470ms       0.000us         0.00%       2.635ms     527.094us             5  
                            difflow/encoder/level1_2048         1.14%       1.330ms         4.42%       5.168ms     516.830us       0.000us         0.00%       2.477ms     247.703us            10  
                                           aten::matmul         0.55%     649.207us         4.86%       5.683ms      20.297us       0.000us         0.00%       2.464ms       8.799us           280  
                             difflow/encoder/level3_256         1.14%       1.339ms         4.05%       4.737ms     473.686us       0.000us         0.00%       2.414ms     241.405us            10  
              difflow/recurrent/group_combined_features         0.00%       0.000us         0.00%       0.000us       0.000us       2.271ms         4.75%       2.271ms      25.233us            90  
                   difflow/recurrent/prepare_cosine_knn         0.73%     851.272us         3.43%       4.008ms     267.225us       0.000us         0.00%       2.190ms     146.023us            15  
                                           aten::conv1d         0.15%     174.283us         8.61%      10.071ms      23.697us       0.000us         0.00%       2.169ms       5.104us           425  
                                              aten::add         1.13%       1.319ms         2.05%       2.401ms       4.707us       2.129ms         4.45%       2.129ms       4.175us           510  
void at::native::mbtopk::computeBlockwiseWithinKCoun...         0.00%       0.000us         0.00%       0.000us       0.000us       2.059ms         4.30%       2.059ms       4.289us           480  
                                 difflow/encoder/level0         1.04%       1.217ms         4.41%       5.159ms     515.904us       0.000us         0.00%       2.058ms     205.783us            10  
                         difflow/diffusion_gru/self_knn         0.00%       0.000us         0.00%       0.000us       0.000us       1.956ms         4.09%       1.956ms     130.368us            15  
                             difflow/upsample/apply_3nn         0.00%       0.000us         0.00%       0.000us       0.000us       1.895ms         3.96%       1.895ms      31.589us            60  
              difflow/recurrent/group_combined_geometry         0.00%       0.000us         0.00%       0.000us       0.000us       1.796ms         3.75%       1.796ms      29.936us            60  
void at::native::mbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.629ms         3.40%       1.629ms      13.575us           120  
                                              aten::cat         1.00%       1.172ms         1.61%       1.879ms       6.593us       1.542ms         3.22%       1.542ms       5.411us           285  
              difflow/recurrent/group_combined_features         1.19%       1.390ms         2.67%       3.128ms      34.759us       0.000us         0.00%       1.420ms      15.781us            90  
void at::native::sbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.417ms         2.96%       1.417ms       9.775us           145  
                                              aten::mul         1.55%       1.819ms         2.72%       3.179ms       5.086us       1.402ms         2.93%       1.402ms       2.244us           625  
void furthest_point_sampling_kernel<512u>(int, int, ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.353ms         2.83%       1.353ms     135.303us            10  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.317ms         2.75%       1.317ms      10.978us           120  
                                      aten::leaky_relu_         0.73%     854.610us         1.66%       1.937ms       4.035us       1.296ms         2.71%       1.296ms       2.699us           480  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.296ms         2.71%       1.296ms       2.699us           480  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.290ms         2.70%       1.290ms       8.603us           150  
                                              aten::sum         2.16%       2.525ms         3.57%       4.178ms       5.843us       1.286ms         2.69%       1.286ms       1.798us           715  
