-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.119ms         2.34%       1.119ms       3.390us           330  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.027ms         2.15%       1.027ms       1.592us           645  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     962.081us         2.01%     962.081us       2.291us           420  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     919.680us         1.92%     919.680us      15.328us            60  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     914.494us         1.91%     914.494us       9.145us           100  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     825.571us         1.73%     825.571us       8.256us           100  
                          aten::max_pool2d_with_indices         0.31%     366.354us         0.52%     609.167us       5.802us     801.726us         1.68%     801.726us       7.635us           105  
void at::native::(anonymous namespace)::max_pool_for...         0.00%       0.000us         0.00%       0.000us       0.000us     801.726us         1.68%     801.726us       7.635us           105  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     743.528us         1.55%     743.528us       1.328us           560  
difflow/diffusion_gru/materialize_channel_first_inpu...         0.00%       0.000us         0.00%       0.000us       0.000us     738.113us         1.54%     738.113us      24.604us            30  
                     difflow/diffusion_gru/random_noise         0.00%       0.000us         0.00%       0.000us       0.000us     601.246us         1.26%     601.246us      20.042us            30  
void at_cuda_detail::cub::DeviceScanByKeyKernel<at_c...         0.00%       0.000us         0.00%       0.000us       0.000us     578.241us         1.21%     578.241us       2.409us           240  
                                            aten::addmm         0.51%     594.996us         0.80%     931.446us      15.524us     563.643us         1.18%     563.643us       9.394us            60  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     546.718us         1.14%     546.718us      12.149us            45  
                                              aten::sub         0.92%       1.074ms         1.57%       1.842ms       5.187us     516.460us         1.08%     516.460us       1.455us           355  
void implicit_convolve_sgemm<float, float, 1024, 5, ...         0.00%       0.000us         0.00%       0.000us       0.000us     474.465us         0.99%     474.465us       3.061us           155  
                                              aten::pow         1.39%       1.624ms         2.42%       2.832ms       5.344us     464.933us         0.97%     464.933us       0.877us           530  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     464.933us         0.97%     464.933us       0.877us           530  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     382.051us         0.80%     382.051us       2.635us           145  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     374.338us         0.78%     374.338us       2.880us           130  
                                              aten::max         0.33%     390.207us         0.47%     546.799us       9.113us     356.703us         0.75%     356.703us       5.945us            60  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     356.703us         0.75%     356.703us       5.945us            60  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     341.536us         0.71%     341.536us       7.590us            45  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     297.447us         0.62%     297.447us       1.044us           285  
void furthest_point_sampling_kernel<256u>(int, int, ...         0.00%       0.000us         0.00%       0.000us       0.000us     275.169us         0.57%     275.169us      27.517us            10  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     274.691us         0.57%     274.691us       1.526us           180  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     259.101us         0.54%     259.101us       3.701us            70  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     253.827us         0.53%     253.827us       6.346us            40  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     224.581us         0.47%     224.581us       7.486us            30  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     223.778us         0.47%     223.778us       1.721us           130  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     216.420us         0.45%     216.420us       2.164us           100  
                                              aten::div         0.38%     447.183us         0.67%     789.693us       4.936us     205.091us         0.43%     205.091us       1.282us           160  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     205.091us         0.43%     205.091us       1.282us           160  
                                        aten::clamp_min         0.38%     439.180us         0.71%     834.092us       4.634us     196.165us         0.41%     196.165us       1.090us           180  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     191.388us         0.40%     191.388us       0.766us           250  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     180.352us         0.38%     180.352us       2.405us            75  
                               aten::linalg_vector_norm         0.31%     361.096us         0.46%     538.404us       7.691us     177.983us         0.37%     177.983us       2.543us            70  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     177.983us         0.37%     177.983us       2.543us            70  
void at_cuda_detail::cub::DeviceScanByKeyInitKernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     174.589us         0.36%     174.589us       0.727us           240  
                        difflow/recurrent/diffusion_gru         0.00%       0.000us         0.00%       0.000us       0.000us     173.537us         0.36%     173.537us       5.785us            30  
void at::native::mbtopk::computeBlockwiseKthCounts<u...         0.00%       0.000us         0.00%       0.000us       0.000us     156.196us         0.33%     156.196us       1.302us           120  
                                       aten::reciprocal         0.24%     281.115us         0.47%     544.272us       4.354us     136.962us         0.29%     136.962us       1.096us           125  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     136.962us         0.29%     136.962us       1.096us           125  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     124.224us         0.26%     124.224us      12.422us            10  
                difflow/recurrent/next_iteration_concat         0.00%       0.000us         0.00%       0.000us       0.000us     124.096us         0.26%     124.096us       8.273us            15  
               difflow/recurrent/initial_feature_concat         0.00%       0.000us         0.00%       0.000us       0.000us     112.800us         0.24%     112.800us       7.520us            15  
                                          aten::sigmoid         0.14%     168.654us         0.27%     312.177us       5.203us     104.954us         0.22%     104.954us       1.749us            60  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     104.954us         0.22%     104.954us       1.749us            60  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     103.906us         0.22%     103.906us       5.195us            20  
                                            aten::clamp         0.30%     351.341us         0.52%     605.015us       5.762us     101.282us         0.21%     101.282us       0.965us           105  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     100.799us         0.21%     100.799us       4.032us            25  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      99.167us         0.21%      99.167us       1.322us            75  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us      96.288us         0.20%      96.288us       9.629us            10  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us      95.873us         0.20%      95.873us       6.392us            15  
                                             aten::sqrt         0.16%     188.130us         0.32%     376.373us       4.182us      91.260us         0.19%      91.260us       1.014us            90  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      91.260us         0.19%      91.260us       1.014us            90  
void at::native::mbtopk::fill<unsigned int, unsigned...         0.00%       0.000us         0.00%       0.000us       0.000us      87.899us         0.18%      87.899us       0.732us           120  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us      85.055us         0.18%      85.055us       8.506us            10  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us      81.408us         0.17%      81.408us      16.282us             5  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      76.543us         0.16%      76.543us       0.850us            90  
                                          aten::normal_         0.16%     187.415us         0.32%     369.291us       6.155us      67.841us         0.14%      67.841us       1.131us            60  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us      67.841us         0.14%      67.841us       1.131us            60  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      62.751us         0.13%      62.751us       2.092us            30  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      62.723us         0.13%      62.723us       1.045us            60  
             difflow/recurrent/combine_neighbor_indices         0.00%       0.000us         0.00%       0.000us       0.000us      62.723us         0.13%      62.723us       1.045us            60  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      58.336us         0.12%      58.336us       0.972us            60  
                   difflow/recurrent/new_feature_concat         0.00%       0.000us         0.00%       0.000us       0.000us      53.278us         0.11%      53.278us       1.776us            30  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      50.557us         0.11%      50.557us       1.685us            30  
void implicit_convolve_sgemm<float, float, 128, 5, 5...         0.00%       0.000us         0.00%       0.000us       0.000us      47.615us         0.10%      47.615us       2.381us            20  
                                        GatherOperation         0.21%     243.206us         0.33%     388.720us       9.718us      40.321us         0.08%      40.321us       1.008us            40  
gather_points_kernel_fast(int, int, int, int, float ...         0.00%       0.000us         0.00%       0.000us       0.000us      40.321us         0.08%      40.321us       1.008us            40  
                                             aten::tanh         0.08%      89.701us         0.34%     402.740us      13.425us      30.624us         0.06%      30.624us       1.021us            30  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      30.624us         0.06%      30.624us       1.021us            30  
void cudnn::cnn::conv2d_grouped_direct_kernel<false,...         0.00%       0.000us         0.00%       0.000us       0.000us      23.487us         0.05%      23.487us       2.349us            10  
                                            aten::fill_         0.06%      72.849us         0.13%     157.352us       5.245us      20.993us         0.04%      20.993us       0.700us            30  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.993us         0.04%      20.993us       0.700us            30  
                                 aten::cudnn_batch_norm         0.07%      86.089us         0.14%     161.949us      16.195us      14.718us         0.03%      14.718us       1.472us            10  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 117.018ms
Self CUDA time total: 47.858ms
