-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::sum         2.06%       2.489ms         3.43%       4.147ms       5.800us       1.283ms         2.54%       1.283ms       1.795us           715  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.026ms         2.03%       1.026ms       1.590us           645  
void sgemm_largek_lds64<true, false, 5, 5, 4, 4, 4, ...         0.00%       0.000us         0.00%       0.000us       0.000us     997.413us         1.97%     997.413us      11.082us            90  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     969.282us         1.92%     969.282us       2.308us           420  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us     900.800us         1.78%     900.800us      25.737us            35  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     894.973us         1.77%     894.973us       9.944us            90  
void implicit_convolve_sgemm<float, float, 128, 5, 5...         0.00%       0.000us         0.00%       0.000us       0.000us     892.001us         1.77%     892.001us       5.947us           150  
                          aten::max_pool2d_with_indices         0.31%     377.962us         0.50%     608.572us       5.796us     806.465us         1.60%     806.465us       7.681us           105  
void at::native::(anonymous namespace)::max_pool_for...         0.00%       0.000us         0.00%       0.000us       0.000us     806.465us         1.60%     806.465us       7.681us           105  
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us     794.366us         1.57%     794.366us      10.592us            75  
void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_...         0.00%       0.000us         0.00%       0.000us       0.000us     771.940us         1.53%     771.940us       7.719us           100  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     770.247us         1.52%     770.247us       2.567us           300  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     740.846us         1.47%     740.846us       1.323us           560  
difflow/diffusion_gru/materialize_channel_first_inpu...         0.00%       0.000us         0.00%       0.000us       0.000us     735.872us         1.46%     735.872us      24.529us            30  
                     difflow/diffusion_gru/random_noise         0.00%       0.000us         0.00%       0.000us       0.000us     632.068us         1.25%     632.068us      21.069us            30  
void at_cuda_detail::cub::DeviceScanByKeyKernel<at_c...         0.00%       0.000us         0.00%       0.000us       0.000us     577.657us         1.14%     577.657us       2.407us           240  
                                              aten::sub         0.89%       1.074ms         1.51%       1.833ms       5.163us     516.864us         1.02%     516.864us       1.456us           355  
                                              aten::pow         1.34%       1.627ms         2.47%       2.994ms       5.650us     463.391us         0.92%     463.391us       0.874us           530  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     463.391us         0.92%     463.391us       0.874us           530  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     439.011us         0.87%     439.011us       7.317us            60  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     435.873us         0.86%     435.873us      14.529us            30  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     371.939us         0.74%     371.939us       2.565us           145  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     355.845us         0.70%     355.845us      11.861us            30  
                                              aten::max         0.32%     383.780us         0.45%     539.598us       8.993us     334.207us         0.66%     334.207us       5.570us            60  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     334.207us         0.66%     334.207us       5.570us            60  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     293.632us         0.58%     293.632us       1.030us           285  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     286.691us         0.57%     286.691us       0.831us           345  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     276.122us         0.55%     276.122us       1.534us           180  
void furthest_point_sampling_kernel<256u>(int, int, ...         0.00%       0.000us         0.00%       0.000us       0.000us     275.104us         0.54%     275.104us      27.510us            10  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     257.697us         0.51%     257.697us       3.681us            70  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     245.441us         0.49%     245.441us      16.363us            15  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     214.431us         0.42%     214.431us       1.649us           130  
                                              aten::div         0.38%     455.476us         0.66%     798.260us       4.989us     201.632us         0.40%     201.632us       1.260us           160  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     201.632us         0.40%     201.632us       1.260us           160  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     198.719us         0.39%     198.719us       4.968us            40  
                                        aten::clamp_min         0.37%     443.952us         0.69%     831.178us       4.618us     194.911us         0.39%     194.911us       1.083us           180  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     194.208us         0.38%     194.208us       2.589us            75  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     182.207us         0.36%     182.207us       2.429us            75  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us     180.801us         0.36%     180.801us       2.782us            65  
                               aten::linalg_vector_norm         0.30%     357.564us         0.44%     536.422us       7.663us     175.871us         0.35%     175.871us       2.512us            70  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     175.871us         0.35%     175.871us       2.512us            70  
void at_cuda_detail::cub::DeviceScanByKeyInitKernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     172.922us         0.34%     172.922us       0.721us           240  
                        difflow/recurrent/diffusion_gru         0.00%       0.000us         0.00%       0.000us       0.000us     168.030us         0.33%     168.030us       5.601us            30  
void at::native::mbtopk::computeBlockwiseKthCounts<u...         0.00%       0.000us         0.00%       0.000us       0.000us     156.574us         0.31%     156.574us       1.305us           120  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_...         0.00%       0.000us         0.00%       0.000us       0.000us     140.417us         0.28%     140.417us      14.042us            10  
                                       aten::reciprocal         0.23%     273.932us         0.45%     543.907us       4.351us     135.644us         0.27%     135.644us       1.085us           125  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     135.644us         0.27%     135.644us       1.085us           125  
void cudnn::cnn::kern_precompute_indices<false>(int*...         0.00%       0.000us         0.00%       0.000us       0.000us     131.840us         0.26%     131.840us       0.776us           170  
void scal_kernel<float, float, 1, true, 6, 5, 5, 3>(...         0.00%       0.000us         0.00%       0.000us       0.000us     125.792us         0.25%     125.792us       1.398us            90  
               difflow/recurrent/initial_feature_concat         0.00%       0.000us         0.00%       0.000us       0.000us     122.752us         0.24%     122.752us       8.183us            15  
                difflow/recurrent/next_iteration_concat         0.00%       0.000us         0.00%       0.000us       0.000us     120.162us         0.24%     120.162us       8.011us            15  
                                          aten::sigmoid         0.13%     161.274us         0.24%     292.990us       4.883us     105.570us         0.21%     105.570us       1.759us            60  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     105.570us         0.21%     105.570us       1.759us            60  
                                            aten::clamp         0.29%     346.824us         0.49%     595.897us       5.675us      98.721us         0.20%      98.721us       0.940us           105  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      97.061us         0.19%      97.061us       1.294us            75  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us      93.824us         0.19%      93.824us       6.255us            15  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 121.029ms
Self CUDA time total: 50.534ms
