-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      GroupingOperation         2.93%       3.540ms         4.61%       5.579ms       9.963us       2.831ms         5.60%       2.831ms       5.055us           560  
group_points_kernel_fast(int, int, int, int, int, fl...         0.00%       0.000us         0.00%       0.000us       0.000us       2.831ms         5.60%       2.831ms       5.055us           560  
void at::native::mbtopk::radixFindKthValues<float, u...         0.00%       0.000us         0.00%       0.000us       0.000us       2.829ms         5.60%       2.829ms       5.894us           480  
                                              aten::bmm         2.51%       3.040ms         3.91%       4.729ms      14.552us       2.609ms         5.16%       2.796ms       8.603us           325  
                           difflow/upsample/prepare_3nn         0.00%       0.000us         0.00%       0.000us       0.000us       2.789ms         5.52%       2.789ms     185.952us            15  
                             difflow/encoder/level3_256         1.15%       1.392ms         3.96%       4.795ms     479.539us       0.000us         0.00%       2.640ms     264.021us            10  
                            difflow/encoder/level1_2048         1.14%       1.379ms         4.32%       5.223ms     522.289us       0.000us         0.00%       2.511ms     251.093us            10  
                   difflow/recurrent/prepare_cosine_knn         0.62%     755.049us         4.77%       5.769ms     384.622us       0.000us         0.00%       2.392ms     159.499us            15  
              difflow/recurrent/group_combined_features         0.00%       0.000us         0.00%       0.000us       0.000us       2.317ms         4.58%       2.317ms      25.740us            90  
                                           aten::matmul         0.59%     717.814us         4.84%       5.855ms      20.910us       0.000us         0.00%       2.265ms       8.089us           280  
                         difflow/diffusion_gru/self_knn         0.00%       0.000us         0.00%       0.000us       0.000us       2.235ms         4.42%       2.235ms     149.018us            15  
                                              aten::add         1.08%       1.306ms         3.21%       3.888ms       7.623us       2.137ms         4.23%       2.138ms       4.192us           510  
                   difflow/diffusion_gru/time_embedding         0.00%       0.000us         0.00%       0.000us       0.000us       2.133ms         4.22%       2.133ms     142.204us            15  
                                 difflow/encoder/level0         1.05%       1.270ms         4.33%       5.239ms     523.926us       0.000us         0.00%       2.089ms     208.918us            10  
              difflow/recurrent/group_combined_geometry         0.00%       0.000us         0.00%       0.000us       0.000us       2.071ms         4.10%       2.071ms      34.524us            60  
void at::native::mbtopk::computeBlockwiseWithinKCoun...         0.00%       0.000us         0.00%       0.000us       0.000us       2.068ms         4.09%       2.068ms       4.308us           480  
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us       1.965ms         3.89%       1.965ms      11.556us           170  
                             difflow/upsample/apply_3nn         0.00%       0.000us         0.00%       0.000us       0.000us       1.818ms         3.60%       1.818ms      30.300us            60  
                                           aten::linear         0.12%     145.431us         1.56%       1.884ms      20.930us       0.000us         0.00%       1.747ms      19.408us            90  
                                            aten::addmm         0.66%     804.610us         1.28%       1.545ms      17.167us       1.747ms         3.46%       1.747ms      19.408us            90  
void at::native::mbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.629ms         3.22%       1.629ms      13.576us           120  
                              difflow/encoder/level4_64         0.87%       1.049ms         3.29%       3.986ms     398.583us       0.000us         0.00%       1.578ms     157.825us            10  
                                              aten::cat         1.02%       1.230ms         1.64%       1.982ms       6.607us       1.557ms         3.08%       1.557ms       5.191us           300  
                                              aten::mul         1.58%       1.917ms         2.80%       3.386ms       5.170us       1.437ms         2.84%       1.437ms       2.193us           655  
void at::native::sbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.424ms         2.82%       1.424ms       9.820us           145  
              difflow/recurrent/group_combined_features         1.26%       1.529ms         2.65%       3.213ms      35.703us       0.000us         0.00%       1.421ms      15.783us            90  
void furthest_point_sampling_kernel<512u>(int, int, ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.352ms         2.68%       1.352ms     135.187us            10  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.316ms         2.60%       1.316ms      10.968us           120  
                                      aten::leaky_relu_         0.72%     869.735us         1.60%       1.934ms       4.029us       1.295ms         2.56%       1.295ms       2.697us           480  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.295ms         2.56%       1.295ms       2.697us           480  
                                              aten::sum         2.06%       2.489ms         3.43%       4.147ms       5.800us       1.283ms         2.54%       1.283ms       1.795us           715  
           difflow/recurrent/prepare_diffusion_self_knn         0.13%     159.169us         2.26%       2.735ms     182.305us       0.000us         0.00%       1.193ms      79.508us            15  
                         difflow/diffusion_gru/self_knn         0.48%     586.300us         2.13%       2.575ms     171.693us       0.000us         0.00%       1.193ms      79.508us            15  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.026ms         2.03%       1.026ms       1.590us           645  
void sgemm_largek_lds64<true, false, 5, 5, 4, 4, 4, ...         0.00%       0.000us         0.00%       0.000us       0.000us     997.413us         1.97%     997.413us      11.082us            90  
                           difflow/upsample/prepare_3nn         0.75%     905.913us         2.68%       3.242ms     216.102us       0.000us         0.00%     995.812us      66.387us            15  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     969.282us         1.92%     969.282us       2.308us           420  
                       difflow/coarse_l3/flow_estimator         0.93%       1.127ms         3.37%       4.079ms     815.786us       0.000us         0.00%     952.927us     190.585us             5  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us     900.800us         1.78%     900.800us      25.737us            35  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     894.973us         1.77%     894.973us       9.944us            90  
void implicit_convolve_sgemm<float, float, 128, 5, 5...         0.00%       0.000us         0.00%       0.000us       0.000us     892.001us         1.77%     892.001us       5.947us           150  
                                       aten::max_pool2d         0.07%      90.418us         0.58%     698.990us       6.657us       0.000us         0.00%     806.465us       7.681us           105  
                          aten::max_pool2d_with_indices         0.31%     377.962us         0.50%     608.572us       5.796us     806.465us         1.60%     806.465us       7.681us           105  
void at::native::(anonymous namespace)::max_pool_for...         0.00%       0.000us         0.00%       0.000us       0.000us     806.465us         1.60%     806.465us       7.681us           105  
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us     794.366us         1.57%     794.366us      10.592us            75  
void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_...         0.00%       0.000us         0.00%       0.000us       0.000us     771.940us         1.53%     771.940us       7.719us           100  
void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_...         0.00%       0.000us         0.00%       0.000us       0.000us     770.247us         1.52%     770.247us       2.567us           300  
                                               aten::to         0.20%     236.708us         3.10%       3.748ms       2.987us       0.000us         0.00%     740.846us       0.590us          1255  
                                         aten::_to_copy         0.46%     554.335us         2.90%       3.512ms       6.271us       0.000us         0.00%     740.846us       1.323us           560  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     740.846us         1.47%     740.846us       1.323us           560  
difflow/diffusion_gru/materialize_channel_first_inpu...         0.23%     279.597us         0.41%     492.652us      16.422us       0.000us         0.00%     735.872us      24.529us            30  
difflow/diffusion_gru/materialize_channel_first_inpu...         0.00%       0.000us         0.00%       0.000us       0.000us     735.872us         1.46%     735.872us      24.529us            30  
                     difflow/diffusion_gru/random_noise         0.00%       0.000us         0.00%       0.000us       0.000us     632.068us         1.25%     632.068us      21.069us            30  
void at_cuda_detail::cub::DeviceScanByKeyKernel<at_c...         0.00%       0.000us         0.00%       0.000us       0.000us     577.657us         1.14%     577.657us       2.407us           240  
                                              aten::sub         0.89%       1.074ms         1.51%       1.833ms       5.163us     516.864us         1.02%     516.864us       1.456us           355  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 121.029ms
Self CUDA time total: 50.534ms
